model,dev_fold,test_fold,epoch,dev_r2,test_r2,dev_rmse,test_rmse,dev_mae,test_mae,tr_loss,dev_loss,test_loss
squeeze,1,2,30,0.430169,0.094796,2.724589,3.929905,2.229107,2.815809,15.529464,7.423387,15.444152
squeeze,1,3,29,0.327952,0.056586,2.999611,3.607792,2.605037,3.115125,15.77279,8.997666,13.016164
squeeze,1,4,30,0.309523,-0.145885,3.009925,4.343409,2.565819,3.701299,16.111065,9.05965,18.865201
squeeze,1,5,30,0.297723,-0.091336,2.917596,4.296106,2.382798,2.900413,15.830542,8.512367,18.456524
squeeze,1,6,31,0.263442,0.212884,2.988408,4.116651,2.615165,2.640445,15.963137,8.93058,16.946813
squeeze,1,7,22,0.293992,-0.446464,3.085433,3.976414,2.656351,3.192003,17.803379,9.5199,15.811868
squeeze,1,8,26,0.252815,0.139095,3.061836,3.626355,2.656171,3.454245,18.022842,9.374838,13.150453
squeeze,1,9,30,0.333842,-1.03685,2.936489,6.156664,2.600687,4.952904,15.943375,8.622971,37.904509
squeeze,2,0,26,0.196936,-0.444978,3.847003,5.708083,3.170156,4.159707,13.591331,14.799435,32.582215
squeeze,2,1,31,0.172888,-0.034095,3.881458,3.559024,3.124933,3.237615,16.943491,15.065718,12.666654
squeeze,2,3,31,0.220412,0.121369,3.814384,3.626541,3.072467,3.141633,16.145947,14.549522,13.151799
squeeze,2,4,13,0.088896,-0.140722,3.953173,4.126803,3.138953,3.552882,16.534882,15.627574,17.030501
squeeze,2,5,30,0.182822,-0.127078,3.90526,4.505063,3.247653,3.988107,16.390921,15.251057,20.295598
squeeze,2,6,29,0.123815,0.095169,4.032436,4.149168,3.250006,3.069149,15.059576,16.260539,17.215591
squeeze,2,7,31,0.211634,-0.860658,3.842291,4.54566,3.167829,3.665891,14.10343,14.763199,20.663029
squeeze,2,8,30,0.160897,-0.182527,3.957303,4.168056,3.332498,3.592814,16.512733,15.660245,17.372693
squeeze,2,9,9,0.109146,-0.833436,4.0695,5.724116,3.174408,4.757654,15.794706,16.560832,32.765503
squeeze,3,0,4,0.260055,-0.474448,3.090031,5.823428,2.592773,3.988896,17.263519,9.54829,33.912312
squeeze,3,1,7,0.212171,0.098239,3.104609,3.496658,2.553319,3.098561,19.951195,9.638594,12.226617
squeeze,3,2,1,0.214177,0.07761,3.149278,3.967037,2.565838,2.738475,22.27215,9.917952,15.737382
squeeze,3,4,3,0.234357,-0.061809,3.286269,3.92797,2.794425,3.120042,20.006389,10.799562,15.428951
squeeze,3,5,1,0.228867,-0.110728,3.202339,4.526068,2.672019,4.06486,24.611919,10.254977,20.485291
squeeze,3,6,16,0.18536,0.095019,3.376651,4.442065,2.909603,3.03363,17.144102,11.40177,19.731939
squeeze,3,7,3,0.222062,-0.579695,3.277534,4.16293,2.750884,3.288226,19.797324,10.742229,17.329985
squeeze,3,8,2,0.216363,0.090031,3.093093,3.648053,2.458891,3.525391,20.926346,9.567223,13.308292
